Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=1,D=1) vs Random",Black,0.0,0,20,0,78.26403458913167
"MCTS(S=30,R=1,D=1) vs Random",White,0.0,0,20,0,0.6527860959370929
"MCTS(S=30,R=1,D=2) vs Random",Black,0.0,0,20,0,101.0703738530477
"MCTS(S=30,R=1,D=2) vs Random",White,0.0,0,20,0,0.6414175033569336
"MCTS(S=30,R=2,D=1) vs Random",Black,0.0,0,20,0,112.65804608662924
"MCTS(S=30,R=2,D=1) vs Random",White,0.0,0,20,0,0.7257644335428874
"MCTS(S=30,R=2,D=2) vs Random",Black,0.05,1,19,0,157.6475691795349
"MCTS(S=30,R=2,D=2) vs Random",White,-0.05,0,19,1,0.721383151553926
"MCTS(S=50,R=1,D=1) vs Random",Black,0.0,0,20,0,145.5819431940714
"MCTS(S=50,R=1,D=1) vs Random",White,0.0,0,20,0,0.6667033831278483
"MCTS(S=50,R=1,D=2) vs Random",Black,0.0,0,20,0,159.37691291173297
"MCTS(S=50,R=1,D=2) vs Random",White,0.0,0,20,0,0.5961545308430989
"MCTS(S=50,R=2,D=1) vs Random",Black,0.0,0,20,0,181.4026474952698
"MCTS(S=50,R=2,D=1) vs Random",White,0.0,0,20,0,0.6373238563537598
"MCTS(S=50,R=2,D=2) vs Random",Black,0.15,3,17,0,235.86973401216366
"MCTS(S=50,R=2,D=2) vs Random",White,-0.15,0,17,3,0.6225812977010554
"Random vs MCTS(S=30,R=1,D=1)",Black,-0.55,0,9,11,0.6408681807579932
"Random vs MCTS(S=30,R=1,D=1)",White,0.55,11,9,0,76.46410206437626
"Random vs MCTS(S=30,R=1,D=2)",Black,-0.7,0,6,14,0.6229983370237152
"Random vs MCTS(S=30,R=1,D=2)",White,0.7,14,6,0,96.20071337846026
"Random vs MCTS(S=30,R=2,D=1)",Black,-0.35,0,13,7,0.6512229473559888
"Random vs MCTS(S=30,R=2,D=1)",White,0.35,7,13,0,107.4036433054255
"Random vs MCTS(S=30,R=2,D=2)",Black,-0.65,0,7,13,0.669336650106642
"Random vs MCTS(S=30,R=2,D=2)",White,0.65,13,7,0,148.25013033755417
"Random vs MCTS(S=50,R=1,D=1)",Black,-0.65,0,7,13,0.7009607867086247
"Random vs MCTS(S=50,R=1,D=1)",White,0.65,13,7,0,142.30530473140328
"Random vs MCTS(S=50,R=1,D=2)",Black,-0.65,0,7,13,0.658424993356069
"Random vs MCTS(S=50,R=1,D=2)",White,0.65,13,7,0,169.33205492439723
"Random vs MCTS(S=50,R=2,D=1)",Black,-0.7,0,6,14,0.6332878319043961
"Random vs MCTS(S=50,R=2,D=1)",White,0.7,14,6,0,180.42671384792482
"Random vs MCTS(S=50,R=2,D=2)",Black,-0.65,0,7,13,0.6176915710225648
"Random vs MCTS(S=50,R=2,D=2)",White,0.65,13,7,0,226.26284114243202
MiniMax(D=1) vs Random,Black,1.0,20,0,0,10.370449721813202
MiniMax(D=1) vs Random,White,-1.0,0,0,20,0.6877899169921874
MiniMax(D=2) vs Random,Black,0.0,0,20,0,237.59527444839475
MiniMax(D=2) vs Random,White,0.0,0,20,0,0.6317806243896484
Random vs MiniMax(D=1),Black,0.0,0,20,0,0.6009928385416667
Random vs MiniMax(D=1),White,0.0,0,20,0,8.95768086115519
Random vs MiniMax(D=2),Black,0.0,0,20,0,0.6393702824910482
Random vs MiniMax(D=2),White,0.0,0,20,0,239.75874900817874
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",Black,0.0,0,20,0,72.82566308975221
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",White,0.0,0,20,0,9.4226876894633
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",Black,0.0,0,20,0,70.94546635945636
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",White,0.0,0,20,0,218.75766277313232
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",Black,0.0,0,20,0,92.36251990000407
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",White,0.0,0,20,0,9.04284636179606
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",Black,0.0,0,20,0,89.16429042816162
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",White,0.0,0,20,0,225.46913226445517
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",Black,0.0,0,20,0,96.72333399454753
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",White,0.0,0,20,0,8.529320557912191
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",Black,0.0,0,20,0,103.39663028717041
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",White,0.0,0,20,0,238.05214484532672
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",Black,-0.15,0,17,3,145.8313470092409
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",White,0.15,3,17,0,10.411465732089844
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",Black,-0.05,0,19,1,141.84323231379193
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",White,0.05,1,19,0,246.59826596577963
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",Black,0.0,0,20,0,152.31287161509198
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",White,0.0,0,20,0,11.72758181889852
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",Black,0.0,0,20,0,129.96420224507648
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",White,0.0,0,20,0,222.09402958552045
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",Black,-0.1,0,18,2,158.28501235355031
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",White,0.1,2,18,0,8.824991782506308
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",Black,-0.05,0,19,1,158.84556157248358
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",White,0.05,1,19,0,228.78295750845044
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",Black,0.0,0,20,0,173.55868021647134
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",White,0.0,0,20,0,8.64725112915039
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",Black,0.0,0,20,0,167.96625455220544
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",White,0.0,0,20,0,213.36427291234335
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,20,0,229.98419602711996
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,20,0,8.411955833435059
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",Black,-0.05,0,19,1,231.36856635411584
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",White,0.05,1,19,0,224.20984427134198
"MiniMax(D=1) vs MCTS(S=30,R=1,D=1)",Black,0.0,0,20,0,10.733693440755209
"MiniMax(D=1) vs MCTS(S=30,R=1,D=1)",White,0.0,0,20,0,74.03846343358359
"MiniMax(D=1) vs MCTS(S=30,R=1,D=2)",Black,0.15,3,17,0,11.546654247102284
"MiniMax(D=1) vs MCTS(S=30,R=1,D=2)",White,-0.15,0,17,3,94.96191843962059
"MiniMax(D=1) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,20,0,10.720904668172201
"MiniMax(D=1) vs MCTS(S=30,R=2,D=1)",White,0.0,0,20,0,101.63044611612955
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,20,0,10.829249223073322
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,20,0,133.3192046483358
"MiniMax(D=1) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,20,0,10.44277826944987
"MiniMax(D=1) vs MCTS(S=50,R=1,D=1)",White,0.0,0,20,0,128.12118768692017
"MiniMax(D=1) vs MCTS(S=50,R=1,D=2)",Black,0.15,3,17,0,10.594980054431492
"MiniMax(D=1) vs MCTS(S=50,R=1,D=2)",White,-0.15,0,17,3,156.1503346477236
"MiniMax(D=1) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,20,0,10.80719788869222
"MiniMax(D=1) vs MCTS(S=50,R=2,D=1)",White,0.0,0,20,0,169.71553325653076
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",Black,0.05,1,19,0,9.869538048903147
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",White,-0.05,0,19,1,226.10065051487513
"MiniMax(D=2) vs MCTS(S=30,R=1,D=1)",Black,0.0,0,20,0,206.39812707900998
