Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,21.909835815429684,10,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2580435276031494,10,3,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",X,-0.34,9,15,26,20.337937593460083,10,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=1) vs MiniMax(D=2)",O,0.34,26,15,9,14.405492146809896,10,3,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",X,-0.68,7,2,41,20.323614915212,10,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",O,0.68,41,2,7,69.325856367747,10,3,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,22.279309988021847,10,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.526959816614787,10,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",X,-0.18,5,31,14,18.683857838312782,10,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",O,0.18,14,31,5,13.941157658894856,10,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",X,-0.58,6,9,35,19.19905145963033,10,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",O,0.58,35,9,6,69.4563070933024,10,3,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,19.455422321955364,10,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.199787537256876,10,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",X,0.08,9,36,5,16.846926927566525,10,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",O,-0.08,5,36,9,13.58660101890564,10,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",X,-0.16,17,8,25,17.938491582870487,10,3,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",O,0.16,25,8,17,72.61592904726663,10,3,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,26.351464986801144,30,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.34486722946167,30,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",X,-0.54,1,21,28,25.407542943954468,30,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",O,0.54,28,21,1,13.3894415696462,30,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",X,-0.72,5,4,41,26.94466050465902,30,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",O,0.72,41,4,5,72.10401892662048,30,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,25.92913405100504,30,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.471426169077556,30,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",X,-0.2,4,32,14,25.146190166473392,30,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",O,0.2,14,32,4,14.832120736440023,30,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",X,-0.44,10,8,32,24.42957830429077,30,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
