Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=1)",X,0.32,33,0,17,8.747406800587973,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=1)",O,-0.32,17,0,33,57.1186085542043,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=2)",X,-0.08,19,8,23,8.717999696731567,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=2)",O,0.08,23,8,19,50.484215815862015,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=3)",X,-0.2,19,2,29,8.915297190348307,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=30,R=3,D=3)",O,0.2,29,2,19,47.83758521080017,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=1)",X,0.2,29,2,19,9.207219044367472,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=1)",O,-0.2,19,2,29,43.6239743232727,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=2)",X,-0.06,20,7,23,8.866636355717976,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=2)",O,0.06,23,7,20,38.09537331263224,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=3)",X,-0.44,12,4,34,9.026986519495647,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=1,D=3)",O,0.44,34,4,12,34.86798127492269,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=1)",X,0.14,28,1,21,8.86878228187561,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=1)",O,-0.14,21,1,28,67.85965879758199,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=2)",X,0.1,26,3,21,9.21392552057902,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=2)",O,-0.1,21,3,26,62.933525244394936,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=3)",X,-0.4,14,2,34,8.857888460159302,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=2,D=3)",O,0.4,34,2,14,56.77817503611246,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=1)",X,0.44,35,2,13,9.946385939915976,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=1)",O,-0.44,13,2,35,106.19568308194476,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=2)",X,0.1,26,3,21,8.68618114789327,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=2)",O,-0.1,21,3,26,84.60443854331969,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=3)",X,-0.42,13,3,34,8.945902109146118,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=1) vs MCTS(S=50,R=3,D=3)",O,0.42,34,3,13,75.92615962028503,10,1,1,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=1,D=2)",X,0.54,38,1,11,8.600534041722616,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=1,D=2)",O,-0.54,11,1,38,8.77023975054423,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=1,D=3)",X,0.24,29,4,17,8.648600339889526,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=1,D=3)",O,-0.24,17,4,29,8.065488735834759,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=1)",X,0.58,38,3,9,9.423887888590494,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=1)",O,-0.58,9,3,38,16.074074109395344,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=2)",X,0.5,36,3,11,9.678456465403238,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=2)",O,-0.5,11,3,36,16.178489923477173,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=3)",X,0.2,29,2,19,9.294103304545084,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=2,D=3)",O,-0.2,19,2,29,13.685473998387655,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=1)",X,0.62,40,1,9,9.534075578053791,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=1)",O,-0.62,9,1,40,22.238985697428387,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=2)",X,0.48,34,6,10,9.980856974919636,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=2)",O,-0.48,10,6,34,20.883028507232662,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=3)",X,-0.06,22,3,25,9.903183221817017,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=10,R=3,D=3)",O,0.06,25,3,22,19.56920623779297,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=1)",X,0.5,37,1,12,10.183103561401364,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
"MCTS(S=10,R=1,D=2) vs MCTS(S=30,R=1,D=1)",O,-0.5,12,1,37,29.430046876271565,10,1,2,0,MCTS,MCTS,MCTS vs MCTS,50
