Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=70,R=2,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,455.4960123697916,70,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=2,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,9.593114852905272,70,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=2,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,446.2927007675172,70,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=2,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,289.0760660171509,70,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,432.7364603678385,70,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,10.11401335398356,70,3,2,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,444.3485768636068,70,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,285.68884531656903,70,3,2,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,564.4335397084553,70,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,12.119053204854328,70,3,3,1,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,556.2247403462728,70,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MCTS(S=70,R=3,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,268.8703823089599,70,3,3,2,MCTS,MiniMax,MCTS vs MiniMax,10
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,12.96871026357015,30,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,141.3044261932373,30,2,2,1,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=1) vs MCTS(S=30,R=2,D=3)",Black,0.0,0,10,0,14.073017438252766,30,2,3,1,MiniMax,MCTS,MiniMax vs MCTS,10
