Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=2)",Black,-1.0,0,0,10,140.99040627479553,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=2)",White,1.0,10,0,0,244.32372252146405,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,130.672877629598,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,301.80550416310626,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,133.23444366455078,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,245.8618211746216,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,136.458029349645,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,342.2414163748423,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,134.8834164937337,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=2,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,320.8577346801758,30,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
