Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,240.74629624684653
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,269.1933377583822
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,237.6167170206706
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,9.399859110514324
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,249.68552589416504
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,300.1023705800374
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,320.71527163187665
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,10.135955810546875
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,296.0768429438273
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,266.07279777526855
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,318.3989731470744
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,10.26963233947754
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,344.54013188680017
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,301.11939907073975
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,430.77240943908697
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,9.710259437561037
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,427.4182335535685
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,264.3632284800211
"MCTS(S=70,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,368.04778575897217
"MCTS(S=70,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,11.038076082865398
"MCTS(S=70,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,337.0866314570109
"MCTS(S=70,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,264.8855257034302
"MCTS(S=70,R=2,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,455.49601236979163
"MCTS(S=70,R=2,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,9.593114852905273
"MCTS(S=70,R=2,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,446.29270076751715
"MCTS(S=70,R=2,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,289.0760660171509
"MCTS(S=70,R=3,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,432.73646036783845
"MCTS(S=70,R=3,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,10.11401335398356
"MCTS(S=70,R=3,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,444.34857686360675
"MCTS(S=70,R=3,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,285.68884531656903
"MCTS(S=70,R=3,D=3) vs MiniMax(D=1)",Black,0.0,0,10,0,564.4335397084553
"MCTS(S=70,R=3,D=3) vs MiniMax(D=1)",White,0.0,0,10,0,12.119053204854328
"MCTS(S=70,R=3,D=3) vs MiniMax(D=2)",Black,0.0,0,10,0,556.2247403462728
"MCTS(S=70,R=3,D=3) vs MiniMax(D=2)",White,0.0,0,10,0,268.8703823089599
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,12.96871026357015
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,141.3044261932373
"MiniMax(D=1) vs MCTS(S=30,R=2,D=3)",Black,0.0,0,10,0,14.073017438252766
"MiniMax(D=1) vs MCTS(S=30,R=2,D=3)",White,0.0,0,10,0,177.0025602976481
"MiniMax(D=1) vs MCTS(S=30,R=3,D=2)",Black,0.0,0,10,0,13.459380467732748
"MiniMax(D=1) vs MCTS(S=30,R=3,D=2)",White,0.0,0,10,0,193.71467431386313
"MiniMax(D=1) vs MCTS(S=30,R=3,D=3)",Black,0.0,0,10,0,12.680859565734865
"MiniMax(D=1) vs MCTS(S=30,R=3,D=3)",White,0.0,0,10,0,246.76232179005942
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",Black,-0.1,0,9,1,13.464268389202301
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",White,0.1,1,9,0,230.35258928934735
"MiniMax(D=1) vs MCTS(S=50,R=2,D=3)",Black,-0.2,0,8,2,12.280605406988235
"MiniMax(D=1) vs MCTS(S=50,R=2,D=3)",White,0.2,2,8,0,300.9058792250497
"MiniMax(D=1) vs MCTS(S=50,R=3,D=2)",Black,-0.3,0,7,3,12.416814168294271
"MiniMax(D=1) vs MCTS(S=50,R=3,D=2)",White,0.3,3,7,0,318.81282329559326
"MiniMax(D=1) vs MCTS(S=50,R=3,D=3)",Black,-0.2,0,8,2,12.425527799697152
"MiniMax(D=1) vs MCTS(S=50,R=3,D=3)",White,0.2,2,8,0,394.55213376453946
"MiniMax(D=1) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,12.234854698181152
"MiniMax(D=1) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,301.35831991831463
"MiniMax(D=1) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,8.792881965637209
"MiniMax(D=1) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,309.27061557769775
"MiniMax(D=1) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,12.367757161458332
"MiniMax(D=1) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,400.59340159098315
"MiniMax(D=1) vs MCTS(S=70,R=3,D=3)",Black,0.2,2,8,0,11.788837114969887
"MiniMax(D=1) vs MCTS(S=70,R=3,D=3)",White,-0.2,0,8,2,563.1263791190253
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,183.14948081970215
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,124.48238690694173
"MiniMax(D=2) vs MCTS(S=30,R=2,D=3)",Black,0.1,1,9,0,197.17791557312015
"MiniMax(D=2) vs MCTS(S=30,R=2,D=3)",White,-0.1,0,9,1,159.93184464318412
"MiniMax(D=2) vs MCTS(S=30,R=3,D=2)",Black,0.0,0,10,0,184.19922828674316
"MiniMax(D=2) vs MCTS(S=30,R=3,D=2)",White,0.0,0,10,0,169.4179662068685
"MiniMax(D=2) vs MCTS(S=30,R=3,D=3)",Black,-0.1,0,9,1,184.80974061148507
"MiniMax(D=2) vs MCTS(S=30,R=3,D=3)",White,0.1,1,9,0,217.04373461859566
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,188.80393346150714
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,214.70768610636392
"MiniMax(D=2) vs MCTS(S=50,R=2,D=3)",Black,-0.1,0,9,1,184.07903989156088
"MiniMax(D=2) vs MCTS(S=50,R=2,D=3)",White,0.1,1,9,0,258.95229975382483
"MiniMax(D=2) vs MCTS(S=50,R=3,D=2)",Black,-0.1,0,9,1,186.06689339592344
"MiniMax(D=2) vs MCTS(S=50,R=3,D=2)",White,0.1,1,9,0,282.15615420114426
"MiniMax(D=2) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,179.66590563456217
"MiniMax(D=2) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,354.6727005640666
"MiniMax(D=2) vs MCTS(S=70,R=2,D=2)",Black,-0.1,0,9,1,198.7228266398112
"MiniMax(D=2) vs MCTS(S=70,R=2,D=2)",White,0.1,1,9,0,304.61264928181964
"MiniMax(D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,208.57383569081622
"MiniMax(D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,380.6403462092082
"MiniMax(D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,198.10787995656335
"MiniMax(D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,401.81891600290925
"MiniMax(D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,212.04761981964108
"MiniMax(D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,527.6020272572837
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,146.1211284001668
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,145.4808533191681
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=3)",Black,-1.0,0,0,10,153.33989779154462
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=3)",White,1.0,10,0,0,184.9358034133911
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=2)",Black,-1.0,0,0,10,158.2952936490377
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=2)",White,1.0,10,0,0,208.37868650754294
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=3)",Black,-1.0,0,0,10,152.72578875223797
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=3,D=3)",White,1.0,10,0,0,252.5204658508301
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,151.79218436732435
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,266.03071776303375
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=3)",Black,-1.0,0,0,10,151.84224287668863
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=3)",White,1.0,10,0,0,308.77755006154376
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=3,D=2)",Black,-0.5,0,5,5,147.21739147648665
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=3,D=2)",White,0.5,5,5,0,329.03003490332406
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=3,D=3)",Black,-1.0,0,0,10,147.16933568318686
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=3,D=3)",White,1.0,10,0,0,411.46457831064856
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=2,D=2)",Black,-1.0,0,0,10,149.14291771975437
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=2,D=2)",White,1.0,10,0,0,347.9243755340576
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,151.51287828172954
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,471.2256755147662
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=3,D=2)",Black,-1.0,0,0,10,142.52288840033788
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=3,D=2)",White,1.0,10,0,0,437.59075511585576
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,134.76924555642262
"MCTS(S=30,R=2,D=2) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,546.6381294386726
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=2,D=3)",Black,0.0,0,10,0,137.53967920939127
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=2,D=3)",White,0.0,0,10,0,134.58334922790527
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=3,D=2)",Black,0.0,0,10,0,173.91265551249185
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=3,D=2)",White,0.0,0,10,0,183.8102134068807
"MCTS(S=30,R=2,D=3) vs MCTS(S=30,R=3,D=3)",Black,0.0,0,10,0,179.93424097696942
