Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"Random vs MCTS(S=10,R=3,D=3)",O,0.38,30,9,11,16.881436506907143
"Random vs MCTS(S=30,R=1,D=1)",X,-0.28,15,6,29,0.04035441080729166
"Random vs MCTS(S=30,R=1,D=1)",O,0.28,29,6,15,23.107393582661942
"Random vs MCTS(S=30,R=1,D=2)",X,-0.56,6,10,34,0.0674733320871989
"Random vs MCTS(S=30,R=1,D=2)",O,0.56,34,10,6,21.39566461245219
"Random vs MCTS(S=30,R=1,D=3)",X,-0.52,10,4,36,0.04277332623799642
"Random vs MCTS(S=30,R=1,D=3)",O,0.52,36,4,10,20.951980749766037
"Random vs MCTS(S=30,R=2,D=1)",X,-0.34,12,9,29,0.04928485552469889
"Random vs MCTS(S=30,R=2,D=1)",O,0.34,29,9,12,39.63173151016235
"Random vs MCTS(S=30,R=2,D=2)",X,-0.38,8,15,27,0.061939795811971024
"Random vs MCTS(S=30,R=2,D=2)",O,0.38,27,15,8,34.96458729108175
"Random vs MCTS(S=30,R=2,D=3)",X,-0.76,4,4,42,0.047683636347452804
"Random vs MCTS(S=30,R=2,D=3)",O,0.76,42,4,4,33.22888096173604
"Random vs MCTS(S=30,R=3,D=1)",X,-0.34,12,9,29,0.033804416656494134
"Random vs MCTS(S=30,R=3,D=1)",O,0.34,29,9,12,52.3359489440918
"Random vs MCTS(S=30,R=3,D=2)",X,-0.52,7,10,33,0.04171514511108398
"Random vs MCTS(S=30,R=3,D=2)",O,0.52,33,10,7,48.11768571535747
"Random vs MCTS(S=30,R=3,D=3)",X,-0.66,5,7,38,0.02610301971435547
"Random vs MCTS(S=30,R=3,D=3)",O,0.66,38,7,5,47.26249814033509
"Random vs MCTS(S=50,R=1,D=1)",X,-0.22,13,13,24,0.0374908447265625
"Random vs MCTS(S=50,R=1,D=1)",O,0.22,24,13,13,38.86236310005188
"Random vs MCTS(S=50,R=1,D=2)",X,-0.28,14,8,28,0.05007004737854004
"Random vs MCTS(S=50,R=1,D=2)",O,0.28,28,8,14,38.23706467946371
"Random vs MCTS(S=50,R=1,D=3)",X,-0.82,3,3,44,0.05750489234924316
"Random vs MCTS(S=50,R=1,D=3)",O,0.82,44,3,3,35.76812942822774
"Random vs MCTS(S=50,R=2,D=1)",X,-0.2,15,10,25,0.043807268142700195
"Random vs MCTS(S=50,R=2,D=1)",O,0.2,25,10,15,63.73538692792256
"Random vs MCTS(S=50,R=2,D=2)",X,-0.56,7,8,35,0.03262519836425781
