Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=1,D=1) vs Random",Black,0.0,0,10,0,76.21441364288331
"MCTS(S=30,R=1,D=1) vs Random",White,0.0,0,10,0,0.7878859837849935
"MCTS(S=30,R=1,D=2) vs Random",Black,0.0,0,10,0,100.89064439137778
"MCTS(S=30,R=1,D=2) vs Random",White,0.0,0,10,0,0.7658545176188151
"MCTS(S=30,R=2,D=1) vs Random",Black,0.0,0,10,0,113.1778351465861
"MCTS(S=30,R=2,D=1) vs Random",White,0.0,0,10,0,0.7748953501383463
"MCTS(S=30,R=2,D=2) vs Random",Black,0.0,0,10,0,145.79209486643472
"MCTS(S=30,R=2,D=2) vs Random",White,0.0,0,10,0,0.65277099609375
"MCTS(S=50,R=1,D=1) vs Random",Black,0.0,0,10,0,131.14481449127197
"MCTS(S=50,R=1,D=1) vs Random",White,0.0,0,10,0,0.6943893432617188
"MCTS(S=50,R=1,D=2) vs Random",Black,0.0,0,10,0,157.01843738555905
"MCTS(S=50,R=1,D=2) vs Random",White,0.0,0,10,0,0.7123867670694985
"MCTS(S=50,R=2,D=1) vs Random",Black,0.0,0,10,0,182.1129528681437
"MCTS(S=50,R=2,D=1) vs Random",White,0.0,0,10,0,0.7648817698160807
"MCTS(S=50,R=2,D=2) vs Random",Black,0.0,0,10,0,240.60085137685138
"MCTS(S=50,R=2,D=2) vs Random",White,0.0,0,10,0,0.6670888264973959
"Random vs MCTS(S=30,R=1,D=1)",Black,-0.8,0,2,8,0.6763745825012009
"Random vs MCTS(S=30,R=1,D=1)",White,0.8,8,2,0,74.46316192160438
"Random vs MCTS(S=30,R=1,D=2)",Black,-1.0,0,0,10,0.636242911929176
"Random vs MCTS(S=30,R=1,D=2)",White,1.0,10,0,0,97.83111711343129
"Random vs MCTS(S=30,R=2,D=1)",Black,-0.9,0,1,9,0.6727823946211073
"Random vs MCTS(S=30,R=2,D=1)",White,0.9,9,1,0,102.43109511004553
"Random vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,0.7244074155413915
"Random vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,145.4837001599963
"Random vs MCTS(S=50,R=1,D=1)",Black,-1.0,0,0,10,0.588850951417065
"Random vs MCTS(S=50,R=1,D=1)",White,1.0,10,0,0,138.65192559632385
"Random vs MCTS(S=50,R=1,D=2)",Black,-0.9,0,1,9,0.7233399436587379
"Random vs MCTS(S=50,R=1,D=2)",White,0.9,9,1,0,161.428426440488
"Random vs MCTS(S=50,R=2,D=1)",Black,-0.9,0,1,9,0.5934242975144159
"Random vs MCTS(S=50,R=2,D=1)",White,0.9,9,1,0,184.83295735858735
"Random vs MCTS(S=50,R=2,D=2)",Black,-0.9,0,1,9,0.6928755091382311
"Random vs MCTS(S=50,R=2,D=2)",White,0.9,9,1,0,235.3461370530067
MiniMax(D=1) vs Random,Black,1.0,10,0,0,15.089768171310425
MiniMax(D=1) vs Random,White,-1.0,0,0,10,0.7872853960309711
MiniMax(D=2) vs Random,Black,0.0,0,10,0,243.43307813008624
MiniMax(D=2) vs Random,White,0.0,0,10,0,0.6822156906127929
Random vs MiniMax(D=1),Black,0.0,0,10,0,0.662364959716797
Random vs MiniMax(D=1),White,0.0,0,10,0,8.957854906717934
Random vs MiniMax(D=2),Black,0.0,0,10,0,0.5975691477457683
Random vs MiniMax(D=2),White,0.0,0,10,0,256.5710735321045
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",Black,0.0,0,10,0,72.31958230336508
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",White,0.0,0,10,0,9.378902117411293
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",Black,0.0,0,10,0,72.7006737391154
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",White,0.0,0,10,0,249.06384944915771
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,89.0421215693156
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,8.956004778544107
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,97.18064467112224
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,270.1659075419108
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",Black,0.0,0,10,0,106.20421250661214
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",White,0.0,0,10,0,9.026336669921875
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",Black,0.0,0,10,0,108.95010471343996
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",White,0.0,0,10,0,284.27802085876465
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,136.44195556640625
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,9.858736991882322
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,134.44849491119385
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,225.23851553599044
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",Black,0.0,0,10,0,122.71685600280762
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",White,0.0,0,10,0,9.679633776346844
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",Black,0.0,0,10,0,124.29132779439291
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",White,0.0,0,10,0,234.61507161458331
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",Black,-0.1,0,9,1,162.63384501139325
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",White,0.1,1,9,0,10.084757804870604
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,153.64847977956137
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,263.14225355784106
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",Black,0.0,0,10,0,180.981543858846
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",White,0.0,0,10,0,8.990805943806965
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",Black,0.0,0,10,0,164.5329745610555
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",White,0.0,0,10,0,228.07166576385498
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",Black,0.0,0,10,0,226.74469788869223
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",White,0.0,0,10,0,8.58902931213379
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",Black,0.0,0,10,0,227.44173526763913
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",White,0.0,0,10,0,246.22289816538495
"MiniMax(D=1) vs MCTS(S=30,R=1,D=1)",Black,0.1,1,9,0,9.710737864176432
"MiniMax(D=1) vs MCTS(S=30,R=1,D=1)",White,-0.1,0,9,1,74.7630526905968
"MiniMax(D=1) vs MCTS(S=30,R=1,D=2)",Black,-0.1,0,9,1,11.334828138351442
"MiniMax(D=1) vs MCTS(S=30,R=1,D=2)",White,0.1,1,9,0,98.0447244644165
"MiniMax(D=1) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,10,0,10.761909484863283
"MiniMax(D=1) vs MCTS(S=30,R=2,D=1)",White,0.0,0,10,0,108.68661721547443
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,11.605863571166994
"MiniMax(D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,144.21804904937747
"MiniMax(D=1) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,10,0,12.085350354512533
"MiniMax(D=1) vs MCTS(S=50,R=1,D=1)",White,0.0,0,10,0,133.63963603973392
"MiniMax(D=1) vs MCTS(S=50,R=1,D=2)",Black,-0.2,0,8,2,11.617735226949057
"MiniMax(D=1) vs MCTS(S=50,R=1,D=2)",White,0.2,2,8,0,160.16388257344565
"MiniMax(D=1) vs MCTS(S=50,R=2,D=1)",Black,0.1,1,9,0,11.672828992207846
"MiniMax(D=1) vs MCTS(S=50,R=2,D=1)",White,-0.1,0,9,1,176.97591645377022
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",Black,-0.1,0,9,1,11.18565559387207
"MiniMax(D=1) vs MCTS(S=50,R=2,D=2)",White,0.1,1,9,0,234.92079734802246
"MiniMax(D=2) vs MCTS(S=30,R=1,D=1)",Black,-0.1,0,9,1,213.56907708304269
"MiniMax(D=2) vs MCTS(S=30,R=1,D=1)",White,0.1,1,9,0,78.69895253862651
"MiniMax(D=2) vs MCTS(S=30,R=1,D=2)",Black,0.0,0,10,0,209.45985953013098
"MiniMax(D=2) vs MCTS(S=30,R=1,D=2)",White,0.0,0,10,0,97.44996706644694
"MiniMax(D=2) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,10,0,202.26394812266034
"MiniMax(D=2) vs MCTS(S=30,R=2,D=1)",White,0.0,0,10,0,98.76986185709634
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,193.24588616689044
"MiniMax(D=2) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,134.5078802108765
"MiniMax(D=2) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,10,0,193.37018966674805
"MiniMax(D=2) vs MCTS(S=50,R=1,D=1)",White,0.0,0,10,0,122.87998676300046
"MiniMax(D=2) vs MCTS(S=50,R=1,D=2)",Black,0.1,1,9,0,189.6023707919651
"MiniMax(D=2) vs MCTS(S=50,R=1,D=2)",White,-0.1,0,9,1,149.95103498299918
"MiniMax(D=2) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,204.84968344370523
"MiniMax(D=2) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,175.60702164967853
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.1,0,9,1,201.6106585093907
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",White,0.1,1,9,0,237.76000147774107
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=1,D=1)",Black,0.0,0,10,0,77.16231822967531
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=1,D=1)",White,0.0,0,10,0,74.46371078491211
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=1,D=2)",Black,0.0,0,10,0,72.10558891296388
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=1,D=2)",White,0.0,0,10,0,90.783478418986
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,10,0,70.57062784830728
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=2,D=1)",White,0.0,0,10,0,92.44632403055827
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,70.46815554300943
"MCTS(S=30,R=1,D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,131.062331199646
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,10,0,71.7557446161906
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=1,D=1)",White,0.0,0,10,0,127.09047158559164
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=1,D=2)",Black,0.0,0,10,0,71.0620896021525
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=1,D=2)",White,0.0,0,10,0,148.82062911987305
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,73.35702419281007
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,180.5215613047282
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,80.35044034322102
"MCTS(S=30,R=1,D=1) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,234.17913913726807
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=1,D=2)",Black,-1.0,0,0,10,95.73718905448915
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=1,D=2)",White,1.0,10,0,0,92.39412546157838
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,10,0,93.87231508890787
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=2,D=1)",White,0.0,0,10,0,97.10808912913005
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,96.87288006146748
"MCTS(S=30,R=1,D=2) vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,145.95351020495096
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=1,D=1)",Black,-1.0,0,0,10,90.41233246143048
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=1,D=1)",White,1.0,10,0,0,130.40516009697546
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=1,D=2)",Black,-0.5,0,5,5,94.05079726016882
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=1,D=2)",White,0.5,5,5,0,157.40616061470726
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=2,D=1)",Black,-1.0,0,0,10,92.7284625860361
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=2,D=1)",White,1.0,10,0,0,175.77423315781812
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,87.75965546116684
"MCTS(S=30,R=1,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,224.68852072051078
"MCTS(S=30,R=2,D=1) vs MCTS(S=30,R=2,D=1)",Black,0.0,0,10,0,95.73422431945801
"MCTS(S=30,R=2,D=1) vs MCTS(S=30,R=2,D=1)",White,0.0,0,10,0,92.87051677703857
"MCTS(S=30,R=2,D=1) vs MCTS(S=30,R=2,D=2)",Black,0.0,0,10,0,96.61150773366292
"MCTS(S=30,R=2,D=1) vs MCTS(S=30,R=2,D=2)",White,0.0,0,10,0,133.14462661743164
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,10,0,94.85178152720134
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=1,D=1)",White,0.0,0,10,0,126.31118456522624
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=1,D=2)",Black,0.0,0,10,0,96.24497572580972
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=1,D=2)",White,0.0,0,10,0,145.27327060699463
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,104.92290814717612
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,187.09355036417642
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,113.21261723836263
"MCTS(S=30,R=2,D=1) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,244.42126115163165
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",Black,-1.0,0,0,10,148.74751369158426
"MCTS(S=30,R=2,D=2) vs MCTS(S=30,R=2,D=2)",White,1.0,10,0,0,150.46557982762653
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=1,D=1)",Black,-1.0,0,0,10,146.82602148789624
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=1,D=1)",White,1.0,10,0,0,135.91197820810171
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=1,D=2)",Black,-0.5,0,5,5,132.53618977286598
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=1,D=2)",White,0.5,5,5,0,149.9122347976222
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=1)",Black,-1.0,0,0,10,136.05140355917126
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=1)",White,1.0,10,0,0,172.93501450465277
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,137.22606630036327
"MCTS(S=30,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,238.86369575153702
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=1,D=1)",Black,0.0,0,10,0,129.38963254292807
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=1,D=1)",White,0.0,0,10,0,135.1694043477376
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=1,D=2)",Black,0.0,0,10,0,122.10298697153728
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=1,D=2)",White,0.0,0,10,0,154.93383884429934
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,126.81894143422446
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,183.7416919072469
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,121.47284348805746
"MCTS(S=50,R=1,D=1) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,227.69648551940915
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=1,D=2)",Black,0.0,0,10,0,163.19159348805746
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=1,D=2)",White,0.0,0,10,0,146.94263776143393
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,144.2849540710449
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,154.75550015767413
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,153.32738081614178
"MCTS(S=50,R=1,D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,212.4057737986247
"MCTS(S=50,R=2,D=1) vs MCTS(S=50,R=2,D=1)",Black,0.0,0,10,0,170.00367482503256
"MCTS(S=50,R=2,D=1) vs MCTS(S=50,R=2,D=1)",White,0.0,0,10,0,176.4821656545003
"MCTS(S=50,R=2,D=1) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,174.025076230367
"MCTS(S=50,R=2,D=1) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,242.11047649383548
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,238.4447479248047
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,222.91424592336017
