Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"Random vs MCTS(S=10,R=2,D=2)",X,-0.64,7,4,39,0.02238146464029948
"Random vs MCTS(S=10,R=2,D=2)",O,0.64,39,4,7,12.381089528401693
"Random vs MCTS(S=10,R=2,D=3)",X,-0.7,4,7,39,0.026366313298543293
"Random vs MCTS(S=10,R=2,D=3)",O,0.7,39,7,4,12.111562093098959
"Random vs MCTS(S=10,R=3,D=1)",X,-0.86,2,3,45,0.03300015131632487
"Random vs MCTS(S=10,R=3,D=1)",O,0.86,45,3,2,16.851663192113243
"Random vs MCTS(S=10,R=3,D=2)",X,-0.8,5,0,45,0.03685871760050456
"Random vs MCTS(S=10,R=3,D=2)",O,0.8,45,0,5,15.61032215754191
"Random vs MCTS(S=10,R=3,D=3)",X,-0.68,7,2,41,0.006669362386067709
"Random vs MCTS(S=10,R=3,D=3)",O,0.68,41,2,7,14.963827927907307
"Random vs MCTS(S=30,R=1,D=1)",X,-0.74,6,1,43,0.033416748046875
"Random vs MCTS(S=30,R=1,D=1)",O,0.74,43,1,6,20.92619299888611
"Random vs MCTS(S=30,R=1,D=2)",X,-0.54,10,3,37,0.019919872283935547
"Random vs MCTS(S=30,R=1,D=2)",O,0.54,37,3,10,18.277563651402794
"Random vs MCTS(S=30,R=1,D=3)",X,-0.52,10,4,36,0.011855761210123696
"Random vs MCTS(S=30,R=1,D=3)",O,0.52,36,4,10,19.251421292622883
"Random vs MCTS(S=30,R=2,D=1)",X,-0.74,6,1,43,0.03510276476542155
"Random vs MCTS(S=30,R=2,D=1)",O,0.74,43,1,6,31.556688149770107
"Random vs MCTS(S=30,R=2,D=2)",X,-0.56,11,0,39,0.02999424934387207
"Random vs MCTS(S=30,R=2,D=2)",O,0.56,39,0,11,31.178231636683144
"Random vs MCTS(S=30,R=2,D=3)",X,-0.7,6,3,41,0.02469762166341146
"Random vs MCTS(S=30,R=2,D=3)",O,0.7,41,3,6,29.543474912643433
"Random vs MCTS(S=30,R=3,D=1)",X,-0.9,1,3,46,0.01834869384765625
"Random vs MCTS(S=30,R=3,D=1)",O,0.9,46,3,1,42.825250228246055
"Random vs MCTS(S=30,R=3,D=2)",X,-0.7,6,3,41,0.015384753545125326
"Random vs MCTS(S=30,R=3,D=2)",O,0.7,41,3,6,42.79613137245178
"Random vs MCTS(S=30,R=3,D=3)",X,-0.7,6,3,41,0.043593645095825195
"Random vs MCTS(S=30,R=3,D=3)",O,0.7,41,3,6,44.443585077921554
"Random vs MCTS(S=50,R=1,D=1)",X,-0.72,6,2,42,0.03400715192159017
"Random vs MCTS(S=50,R=1,D=1)",O,0.72,42,2,6,34.002809921900436
"Random vs MCTS(S=50,R=1,D=2)",X,-0.5,11,3,36,0.055737415949503585
"Random vs MCTS(S=50,R=1,D=2)",O,0.5,36,3,11,32.45532751083374
"Random vs MCTS(S=50,R=1,D=3)",X,-0.56,7,8,35,0.029058615366617836
"Random vs MCTS(S=50,R=1,D=3)",O,0.56,35,8,7,33.19254557291667
"Random vs MCTS(S=50,R=2,D=1)",X,-0.82,3,3,44,0.015698671340942383
"Random vs MCTS(S=50,R=2,D=1)",O,0.82,44,3,3,49.553808371226
"Random vs MCTS(S=50,R=2,D=2)",X,-0.72,5,4,41,0.017509142557779946
"Random vs MCTS(S=50,R=2,D=2)",O,0.72,41,4,5,49.6528685092926
"Random vs MCTS(S=50,R=2,D=3)",X,-0.34,14,5,31,0.02622167269388835
"Random vs MCTS(S=50,R=2,D=3)",O,0.34,31,5,14,49.637368520100914
"Random vs MCTS(S=50,R=3,D=1)",X,-0.74,6,1,43,0.005056858062744141
"Random vs MCTS(S=50,R=3,D=1)",O,0.74,43,1,6,73.11376372973125
"Random vs MCTS(S=50,R=3,D=2)",X,-0.64,7,4,39,0.02835988998413086
"Random vs MCTS(S=50,R=3,D=2)",O,0.64,39,4,7,71.30802710851033
"Random vs MCTS(S=50,R=3,D=3)",X,-0.7,6,3,41,0.028346379597981766
"Random vs MCTS(S=50,R=3,D=3)",O,0.7,41,3,6,67.47670133908589
MiniMax(D=1) vs Random,X,0.9,47,1,2,2.6824295520782466
MiniMax(D=1) vs Random,O,-0.9,2,1,47,0.04540681838989258
MiniMax(D=2) vs Random,X,0.92,46,4,0,16.251699686050415
MiniMax(D=2) vs Random,O,-0.92,0,4,46,0.028290351231892906
MiniMax(D=3) vs Random,X,1.0,50,0,0,90.71525454521179
MiniMax(D=3) vs Random,O,-1.0,0,0,50,0.09335517883300781
Random vs MiniMax(D=1),X,-0.52,10,4,36,0.05996664365132649
Random vs MiniMax(D=1),O,0.52,36,4,10,2.1633589267730713
Random vs MiniMax(D=2),X,-0.74,3,7,40,0.05906597773234049
Random vs MiniMax(D=2),O,0.74,40,7,3,11.76177700360616
Random vs MiniMax(D=3),X,-0.88,1,4,45,0.02504706382751465
Random vs MiniMax(D=3),O,0.88,45,4,1,59.427320162455246
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",X,0.6,37,6,7,8.560680468877157
"MCTS(S=10,R=1,D=1) vs MiniMax(D=1)",O,-0.6,7,6,37,2.550634543100993
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",X,-0.48,0,26,24,7.093390862147014
"MCTS(S=10,R=1,D=1) vs MiniMax(D=2)",O,0.48,24,26,0,11.081074078877768
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",X,-0.58,7,7,36,7.279380877812703
"MCTS(S=10,R=1,D=1) vs MiniMax(D=3)",O,0.58,36,7,7,57.07834760348002
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",X,0.0,16,18,16,7.0996243953704825
"MCTS(S=10,R=1,D=2) vs MiniMax(D=1)",O,0.0,16,18,16,2.005925973256429
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",X,-0.58,0,21,29,7.088675896326701
"MCTS(S=10,R=1,D=2) vs MiniMax(D=2)",O,0.58,29,21,0,11.24028205871582
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",X,-0.6,4,12,34,7.361922343571981
"MCTS(S=10,R=1,D=2) vs MiniMax(D=3)",O,0.6,34,12,4,57.415163914362594
"MCTS(S=10,R=1,D=3) vs MiniMax(D=1)",X,0.5,35,5,10,7.830896695454914
"MCTS(S=10,R=1,D=3) vs MiniMax(D=1)",O,-0.5,10,5,35,2.441556453704834
"MCTS(S=10,R=1,D=3) vs MiniMax(D=2)",X,-0.64,2,14,34,7.031030178070069
"MCTS(S=10,R=1,D=3) vs MiniMax(D=2)",O,0.64,34,14,2,11.533989111582438
"MCTS(S=10,R=1,D=3) vs MiniMax(D=3)",X,-0.54,4,15,31,7.122112433115641
"MCTS(S=10,R=1,D=3) vs MiniMax(D=3)",O,0.54,31,15,4,56.03194475173951
"MCTS(S=10,R=2,D=1) vs MiniMax(D=1)",X,0.92,47,2,1,12.221729040145876
"MCTS(S=10,R=2,D=1) vs MiniMax(D=1)",O,-0.92,1,2,47,2.33603040377299
"MCTS(S=10,R=2,D=1) vs MiniMax(D=2)",X,-0.48,0,26,24,10.741191705067953
"MCTS(S=10,R=2,D=1) vs MiniMax(D=2)",O,0.48,24,26,0,10.438958406448364
"MCTS(S=10,R=2,D=1) vs MiniMax(D=3)",X,-0.28,10,16,24,11.966803312301638
"MCTS(S=10,R=2,D=1) vs MiniMax(D=3)",O,0.28,24,16,10,56.14097476005554
"MCTS(S=10,R=2,D=2) vs MiniMax(D=1)",X,0.54,33,11,6,11.561347246170044
"MCTS(S=10,R=2,D=2) vs MiniMax(D=1)",O,-0.54,6,11,33,2.213816245396932
"MCTS(S=10,R=2,D=2) vs MiniMax(D=2)",X,-0.52,1,22,27,11.270572980244953
"MCTS(S=10,R=2,D=2) vs MiniMax(D=2)",O,0.52,27,22,1,11.510392030080162
"MCTS(S=10,R=2,D=2) vs MiniMax(D=3)",X,-0.44,4,20,26,11.400537967681883
